Pos,No,Driver,Car,Time
1,5,Michael SchumacherMSC,Benetton Ford,1:22.762
2,0,Damon HillHIL,Williams Renault,1:22.892
3,2,Nigel MansellMAN,Williams Renault,1:23.392
4,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:23.431
5,14,Rubens BarrichelloBAR,Jordan Hart,1:23.455
6,28,Gerhard BergerBER,Ferrari,1:23.677
7,25,Johnny HerbertHER,Ligier Renault,1:24.040
8,10,Gianni MorbidelliMOR,Footwork Ford,1:24.079
9,7,Mika HakkinenHAK,McLaren Peugeot,1:24.122
10,15,Eddie IrvineIRV,Jordan Hart,1:24.157
11,26,Olivier PanisPAN,Ligier Renault,1:24.432
12,6,Jos VerstappenVER,Benetton Ford,1:24.643
13,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:24.738
14,4,Mark BlundellBLU,Tyrrell Yamaha,1:24.770
15,8,Martin BrundleBRU,McLaren Peugeot,1:25.110
16,27,Jean AlesiALE,Ferrari,1:25.182
17,23,Pierluigi MartiniMAR,Minardi Ford,1:25.294
18,29,Andrea de CesarisDEC,Sauber Mercedes,1:25.407
19,9,Christian FittipaldiFIT,Footwork Ford,1:25.427
20,24,Michele AlboretoALB,Minardi Ford,1:25.511
21,12,Alessandro ZanardiZAN,Lotus Mugen Honda,1:25.557
22,11,Eric BernardBER,Lotus Mugen Honda,1:25.595
23,20,Erik ComasCOM,Larrousse Ford,1:26.272
24,19,Hideki NodaNOD,Larrousse Ford,1:27.168
25,31,David BrabhamBRA,Simtek Ford,1:27.201
26,32,Domenico SchiattarellaSCH,Simtek Ford,1:27.976
