Pos,No,Driver,Car,Time
1,5,Michael SchumacherMSC,Benetton Ford,1:18.560
2,7,Mika HakkinenHAK,McLaren Peugeot,1:19.488
3,28,Gerhard BergerBER,Ferrari,1:19.958
4,0,Damon HillHIL,Williams Renault,1:20.079
5,27,Jean AlesiALE,Ferrari,1:20.452
6,9,Christian FittipaldiFIT,Footwork Ford,1:21.053
7,10,Gianni MorbidelliMOR,Footwork Ford,1:21.189
8,8,Martin BrundleBRU,McLaren Peugeot,1:21.222
9,23,Pierluigi MartiniMAR,Minardi Ford,1:21.288
10,4,Mark BlundellBLU,Tyrrell Yamaha,1:21.614
11,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:21.731
12,24,Michele AlboretoALB,Minardi Ford,1:21.793
13,20,Erik ComasCOM,Larrousse Ford,1:22.211
14,15,Andrea de CesarisDEC,Jordan Hart,1:22.265
15,14,Rubens BarrichelloBAR,Jordan Hart,1:22.359
16,12,Johnny HerbertHER,Lotus Mugen Honda,1:22.375
17,6,Jyrki JarvilehtoJAR,Benetton Ford,1:22.679
18,19,Olivier BerettaBER,Larrousse Ford,1:23.025
19,11,Pedro LamyLAM,Lotus Mugen Honda,1:23.858
20,26,Olivier PanisPAN,Ligier Renault,1:24.131
21,25,Eric BernardBER,Ligier Renault,1:24.377
22,31,David BrabhamBRA,Simtek Ford,1:24.656
23,34,Bertrand GachotGAC,Pacific Ilmor,1:26.082
24,33,Paul BelmondoBEL,Pacific Ilmor,1:29.984
