Pos,No,Driver,Car,Time
1,14,Rubens BarrichelloBAR,Jordan Hart,2:21.163
2,5,Michael SchumacherMSC,Benetton Ford,2:21.494
3,0,Damon HillHIL,Williams Renault,2:21.681
4,15,Eddie IrvineIRV,Jordan Hart,2:22.074
5,27,Jean AlesiALE,Ferrari,2:22.202
6,6,Jos VerstappenVER,Benetton Ford,2:22.218
7,2,David CoulthardCOU,Williams Renault,2:22.359
8,7,Mika HakkinenHAK,McLaren Peugeot,2:22.441
9,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,2:22.634
10,23,Pierluigi MartiniMAR,Minardi Ford,2:23.326
11,28,Gerhard BergerBER,Ferrari,2:23.895
12,4,Mark BlundellBLU,Tyrrell Yamaha,2:24.048
13,8,Martin BrundleBRU,McLaren Peugeot,2:24.117
14,10,Gianni MorbidelliMOR,Footwork Ford,2:25.114
15,29,Andrea de CesarisDEC,Sauber Mercedes,2:25.695
16,25,Eric BernardBER,Ligier Renault,2:26.044
17,26,Olivier PanisPAN,Ligier Renault,2:26.079
18,24,Michele AlboretoALB,Minardi Ford,2:26.738
19,19,Philippe AlliotALL,Larrousse Ford,2:26.901
20,12,Johnny HerbertHER,Lotus Mugen Honda,2:27.155
21,31,David BrabhamBRA,Simtek Ford,2:27.212
22,20,Erik ComasCOM,Larrousse Ford,2:28.156
23,3,Ukyo KatayamaKAT,Tyrrell Yamaha,2:28.979
24,9,Christian FittipaldiFIT,Footwork Ford,2:30.931
25,32,Jean-Marc GounonGOU,Simtek Ford,2:31.755
26,11,Philippe AdamsADA,Lotus Mugen Honda,2:33.885
