Pos,No,Driver,Car,Time
1,27,Ayrton SennaSEN,McLaren Honda,1:18.387
2,1,Alain ProstPRO,Ferrari,1:18.824
3,2,Nigel MansellMAN,Ferrari,1:19.106
4,4,Jean AlesiALE,Tyrrell Ford,1:19.604
5,28,Gerhard BergerBER,McLaren Honda,1:19.618
6,6,Riccardo PatresePAT,Williams Renault,1:19.647
7,5,Thierry BoutsenBOU,Williams Renault,1:19.689
8,20,Nelson PiquetPIQ,Benetton Ford,1:19.700
9,19,Alessandro NanniniNAN,Benetton Ford,1:20.367
10,11,Derek WarwickWAR,Lotus Lamborghini,1:20.610
11,23,Pierluigi MartiniMAR,Minardi Ford,1:21.060
12,15,Mauricio GugelminGUG,Leyton House Judd,1:21.167
13,26,Philippe AlliotALL,Ligier Ford,1:21.170
14,3,Satoru NakajimaNAK,Tyrrell Ford,1:21.215
15,30,Aguri SuzukiSUZ,Lola Lamborghini,1:21.244
16,21,Emanuele PirroPIR,Dallara Ford,1:21.277
17,22,Andrea de CesarisDEC,Dallara Ford,1:21.467
18,29,Eric BernardBER,Lola Lamborghini,1:21.551
19,16,Ivan CapelliCAP,Leyton House Judd,1:21.910
20,25,Nicola LariniLAR,Ligier Ford,1:21.996
21,14,Olivier GrouillardGRO,Osella Ford,1:22.288
22,17,Gabriele TarquiniTAR,AGS Ford,1:22.466
23,18,Yannick DalmasDAL,AGS Ford,1:22.716
24,8,Stefano ModenaMOD,Brabham Judd,1:23.133
25,9,Michele AlboretoALB,Arrows Ford,1:23.161
