Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,16,Charles LeclercLEC,Ferrari,1:43.587,1:42.938,1:42.519,17
2,5,Sebastian VettelVET,Ferrari,1:44.109,1:43.037,1:43.267,17
3,44,Lewis HamiltonHAM,Mercedes,1:45.260,1:43.592,1:43.282,19
4,77,Valtteri BottasBOT,Mercedes,1:45.141,1:43.980,1:43.415,19
5,33,Max VerstappenVER,Red Bull Racing Honda,1:44.622,1:44.132,1:43.690,16
6,3,Daniel RicciardoRIC,Renault,1:45.560,1:44.103,1:44.257,17
7,27,Nico HulkenbergHUL,Renault,1:45.899,1:44.549,1:44.542,16
8,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:45.842,1:44.140,1:44.557,18
9,11,Sergio PerezPER,Racing Point BWT Mercedes,1:45.732,1:44.707,1:44.706,18
10,20,Kevin MagnussenMAG,Haas Ferrari,1:45.839,1:44.738,1:45.086,18
11,8,Romain GrosjeanGRO,Haas Ferrari,1:45.694,1:44.797,,12
12,4,Lando NorrisNOR,McLaren Renault,1:46.154,1:44.847,,12
13,18,Lance StrollSTR,Racing Point BWT Mercedes,1:46.000,1:45.047,,8
14,23,Alexander AlbonALB,Red Bull Racing Honda,1:45.528,1:45.799,,8
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:45.637,,,7
16,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:46.435,,,5
17,55,Carlos SainzSAI,McLaren Renault,1:46.507,,,6
18,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:46.518,,,4
19,63,George RussellRUS,Williams Mercedes,1:47.548,,,6
NC,88,Robert KubicaKUB,Williams Mercedes,DNF,,,2
