Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,63,George RussellRUS,Mercedes,71,15:42:32,1:20.153,193.310
2,11,Sergio PerezPER,Red Bull Racing RBPT,30,14:45:14,1:21.775,189.476
3,3,Daniel RicciardoRIC,McLaren Mercedes,48,15:11:17,1:22.022,188.905
4,1,Max VerstappenVER,Red Bull Racing RBPT,36,14:53:18,1:22.046,188.850
5,44,Lewis HamiltonHAM,Mercedes,32,14:47:56,1:22.062,188.813
6,55,Carlos SainzSAI,Ferrari,32,14:48:24,1:22.199,188.498
7,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,47,15:10:11,1:22.260,188.358
8,10,Pierre GaslyGAS,AlphaTauri RBPT,42,15:03:16,1:22.277,188.319
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,42,15:03:28,1:22.463,187.895
10,16,Charles LeclercLEC,Ferrari,48,15:10:35,1:22.603,187.576
11,14,Fernando AlonsoALO,Alpine Renault,48,15:11:02,1:22.866,186.981
12,23,Alexander AlbonALB,Williams Mercedes,48,15:11:32,1:22.914,186.873
13,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,45,15:07:18,1:23.086,186.486
14,31,Esteban OconOCO,Alpine Renault,48,15:11:09,1:23.279,186.054
15,20,Kevin MagnussenMAG,Haas Ferrari,49,15:13:25,1:23.300,186.007
16,77,Valtteri BottasBOT,Alfa Romeo Ferrari,43,15:04:11,1:23.363,185.866
17,4,Lando NorrisNOR,McLaren Mercedes,48,15:11:14,1:23.402,185.779
18,22,Yuki TsunodaTSU,AlphaTauri RBPT,48,15:11:16,1:23.403,185.777
19,47,Mick SchumacherMSC,Haas Ferrari,30,14:46:23,1:23.641,185.248
20,6,Nicholas LatifiLAT,Williams Mercedes,56,15:23:55,1:23.709,185.098
