Pos,No,Driver,Car,Time
1,5,Fernando AlonsoALO,Renault,3:07.672
2,16,Jarno TrulliTRU,Toyota,3:07.925
3,6,Giancarlo FisichellaFIS,Renault,3:08.448
4,7,Mark WebberWEB,Williams BMW,3:08.904
5,17,Ralf SchumacherRSC,Toyota,3:09.007
6,9,Kimi RäikkönenRAI,McLaren Mercedes,3:09.483
7,15,Christian KlienKLI,RBR Cosworth,3:09.589
8,14,David CoulthardCOU,RBR Cosworth,3:09.700
9,3,Jenson ButtonBUT,BAR Honda,3:09.832
10,8,Nick HeidfeldHEI,Williams BMW,3:09.917
11,10,Juan Pablo MontoyaMOY,McLaren Mercedes,3:10.090
12,2,Rubens BarrichelloBAR,Ferrari,3:11.502
13,1,Michael SchumacherMSC,Ferrari,3:11.633
14,12,Felipe MassaMAS,Sauber Petronas,3:11.884
15,4,Anthony DavidsonDAV,BAR Honda,3:11.890
16,11,Jacques VilleneuveVIL,Sauber Petronas,3:12.995
17,19,Narain KarthikeyanKAR,Jordan Toyota,3:17.656
18,18,Tiago MonteiroMON,Jordan Toyota,3:17.962
19,21,Christijan AlbersALB,Minardi Cosworth,3:23.001
20,20,Patrick Friesacher FRI,Minardi Cosworth,3:21.186
