Pos,No,Driver,Car,Time
1,6,Riccardo PatresePAT,Williams Renault,1:13.001
2,2,Gerhard BergerBER,McLaren Honda,1:13.221
3,1,Ayrton SennaSEN,McLaren Honda,1:13.444
4,5,Nigel MansellMAN,Williams Renault,1:13.667
5,27,Alain ProstPRO,Ferrari,1:14.352
6,28,Jean AlesiALE,Ferrari,1:14.852
7,15,Mauricio GugelminGUG,Leyton House Ilmor,1:15.266
8,23,Pierluigi MartiniMAR,Minardi Ferrari,1:15.394
9,16,Ivan CapelliCAP,Leyton House Ilmor,1:15.481
10,19,Michael SchumacherMSC,Benetton Ford,1:15.578
11,20,Nelson PiquetPIQ,Benetton Ford,1:15.666
12,4,Stefano ModenaMOD,Tyrrell Honda,1:15.707
13,24,Gianni MorbidelliMOR,Minardi Ferrari,1:15.749
14,33,Andrea de CesarisDEC,Jordan Ford,1:15.936
15,8,Mark BlundellBLU,Brabham Yamaha,1:16.038
16,32,Roberto MorenoMOR,Jordan Ford,1:16.080
17,21,Emanuele PirroPIR,Dallara Judd,1:16.135
18,22,Jyrki JarvilehtoJAR,Dallara Judd,1:16.532
19,7,Martin BrundleBRU,Brabham Yamaha,1:16.536
20,25,Thierry BoutsenBOU,Ligier Lamborghini,1:16.757
21,3,Satoru NakajimaNAK,Tyrrell Honda,1:16.926
22,12,Johnny HerbertHER,Lotus Judd,1:17.015
23,26,Erik ComasCOM,Ligier Lamborghini,1:17.226
24,9,Michele AlboretoALB,Footwork Porsche,1:17.330
25,30,Aguri SuzukiSUZ,Lola Ford,1:17.434
26,11,Mika HakkinenHAK,Lotus Judd,1:17.714
