Pos,No,Driver,Car,Time
1,1,Ayrton SennaSEN,McLaren Honda,1:20.344
2,4,Stefano ModenaMOD,Tyrrell Honda,1:20.809
3,6,Riccardo PatresePAT,Williams Renault,1:20.973
4,20,Nelson PiquetPIQ,Benetton Ford,1:21.159
5,5,Nigel MansellMAN,Williams Renault,1:21.205
6,2,Gerhard BergerBER,McLaren Honda,1:21.222
7,27,Alain ProstPRO,Ferrari,1:21.455
8,19,Roberto MorenoMOR,Benetton Ford,1:21.804
9,28,Jean AlesiALE,Ferrari,1:21.910
10,33,Andrea de CesarisDEC,Jordan Ford,1:22.764
11,3,Satoru NakajimaNAK,Tyrrell Honda,1:22.972
12,21,Emanuele PirroPIR,Dallara Judd,1:23.022
13,22,Jyrki JarvilehtoJAR,Dallara Judd,1:23.023
14,23,Pierluigi MartiniMAR,Minardi Ferrari,1:23.064
15,15,Mauricio GugelminGUG,Leyton House Ilmor,1:23.394
16,25,Thierry BoutsenBOU,Ligier Lamborghini,1:23.431
17,24,Gianni MorbidelliMOR,Minardi Ferrari,1:23.584
18,16,Ivan CapelliCAP,Leyton House Ilmor,1:23.642
19,30,Aguri SuzukiSUZ,Lola Ford,1:23.898
20,17,Gabriele TarquiniTAR,AGS Ford,1:23.909
21,29,Eric BernardBER,Lola Ford,1:24.079
22,8,Mark BlundellBLU,Brabham Yamaha,1:24.109
23,26,Erik ComasCOM,Ligier Lamborghini,1:24.151
24,32,Bertrand GachotGAC,Jordan Ford,1:24.208
25,9,Michele AlboretoALB,Footwork Porsche,1:24.606
26,11,Mika HakkinenHAK,Lotus Judd,1:24.829
