Pos,No,Driver,Car,Time
1,27,Patrick TambayTAM,Ferrari,1:29.871
2,28,Rene ArnouxARN,Ferrari,1:29.935
3,12,Nigel MansellMAN,Lotus Ford,1:30.457
4,5,Nelson PiquetPIQ,Brabham BMW,1:30.566
5,15,Alain ProstPRO,Renault,1:30.841
6,6,Riccardo PatresePAT,Brabham BMW,1:31.440
7,36,Bruno GiacomelliGIA,Toleman Hart,1:31.693
8,16,Eddie  CheeverCHE,Renault,1:31.695
9,23,Mauro BaldiBAL,Alfa Romeo,1:31.769
10,35,Derek WarwickWAR,Toleman Hart,1:31.962
11,22,Andrea de CesarisDEC,Alfa Romeo,1:32.359
12,11,Elio de AngelisDEA,Lotus Ford,1:32.451
13,9,Manfred WinkelhockWIN,ATS BMW,1:33.211
14,8,Niki LaudaLAU,McLaren TAG,1:34.518
15,1,Keke RosbergROS,Williams Honda,1:35.380
16,40,Stefan JohanssonJOH,Spirit Honda,1:35.892
17,7,John WatsonWAT,McLaren TAG,1:36.059
18,3,Michele AlboretoALB,Tyrrell Ford,1:36.079
19,30,Thierry BoutsenBOU,Arrows Ford,1:36.357
20,25,Jean-Pierre JarierJAR,Ligier Ford,1:36.435
21,33,Roberto GuerreroGUE,Theodore Ford,1:36.532
22,29,Marc SurerSUR,Arrows Ford,1:36.619
23,4,Danny SullivanSUL,Tyrrell Ford,1:36.772
24,2,Jacques LaffiteLAF,Williams Honda,1:37.017
25,32,Piercarlo GhinzaniGHI,Theodore Ford,1:37.117
26,31,Corrado FabiFAB,Theodore Ford,1:37.217
