Pos,No,Driver,Car,Time
1,3,Michael SchumacherMSC,Ferrari,1:39.688
2,4,Eddie IrvineIRV,Ferrari,1:40.635
3,2,David CoulthardCOU,McLaren Mercedes,1:40.806
4,1,Mika HakkinenHAK,McLaren Mercedes,1:40.866
5,17,Johnny HerbertHER,Stewart Ford,1:40.937
6,16,Rubens BarrichelloBAR,Stewart Ford,1:41.351
7,10,Alexander WurzWUR,Benetton Playlife,1:41.444
8,6,Ralf SchumacherRSC,Williams Supertec,1:41.558
9,7,Damon HillHIL,Jordan Mugen Honda,1:42.050
10,22,Jacques VilleneuveVIL,BAR Supertec,1:42.087
11,9,Giancarlo FisichellaFIS,Benetton Playlife,1:42.110
12,18,Olivier PanisPAN,Prost Peugeot,1:42.208
13,23,Ricardo ZontaZON,BAR Supertec,1:42.310
14,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:42.380
15,11,Jean AlesiALE,Sauber Petronas,1:42.522
16,5,Alessandro ZanardiZAN,Williams Supertec,1:42.885
17,12,Pedro DinizDIN,Sauber Petronas,1:42.933
18,19,Jarno TrulliTRU,Prost Peugeot,1:42.948
19,21,Marc GeneGEN,Minardi Ford,1:43.563
20,14,Pedro de la RosaDLR,Arrows,1:43.579
21,20,Luca BadoerBAD,Minardi Ford,1:44.321
22,15,Toranosuke TakagiTAK,Arrows,1:44.637
