Pos,No,Driver,Car,Time
1,1,Mika HakkinenHAK,McLaren Mercedes,1:24.804
2,3,Michael SchumacherMSC,Ferrari,1:25.223
3,2,David CoulthardCOU,McLaren Mercedes,1:25.594
4,4,Eddie IrvineIRV,Ferrari,1:25.677
5,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:25.991
6,7,Damon HillHIL,Jordan Mugen Honda,1:26.099
7,16,Rubens BarrichelloBAR,Stewart Ford,1:26.194
8,6,Ralf SchumacherRSC,Williams Supertec,1:26.438
9,22,Jacques VilleneuveVIL,BAR Supertec,1:26.719
10,11,Jean AlesiALE,Sauber Petronas,1:26.761
11,17,Johnny HerbertHER,Stewart Ford,1:26.873
12,12,Pedro DinizDIN,Sauber Petronas,1:27.196
13,5,Alessandro ZanardiZAN,Williams Supertec,1:27.223
14,19,Jarno TrulliTRU,Prost Peugeot,1:27.227
15,18,Olivier PanisPAN,Prost Peugeot,1:27.543
16,23,Ricardo ZontaZON,BAR Supertec,1:27.699
17,9,Giancarlo FisichellaFIS,Benetton Playlife,1:27.857
18,10,Alexander WurzWUR,Benetton Playlife,1:28.010
19,15,Toranosuke TakagiTAK,Arrows,1:28.037
20,14,Pedro de la RosaDLR,Arrows,1:28.148
21,20,Luca BadoerBAD,Minardi Ford,1:28.695
22,21,Marc GeneGEN,Minardi Ford,1:28.772
