Pos,No,Driver,Car,Time
1,1,Ayrton SennaSEN,McLaren Honda,1:20.291
2,28,Gerhard BergerBER,Ferrari,1:20.565
3,2,Alain ProstPRO,McLaren Honda,1:21.368
4,23,Pierluigi MartiniMAR,Minardi Ford,1:21.479
5,30,Philippe AlliotALL,Lola Lamborghini,1:21.708
6,6,Riccardo PatresePAT,Williams Renault,1:21.777
7,11,Nelson PiquetPIQ,Lotus Judd,1:21.922
8,7,Martin BrundleBRU,Brabham Judd,1:22.133
9,4,Jean AlesiALE,Tyrrell Ford,1:22.363
10,20,Emanuele PirroPIR,Benetton Ford,1:22.567
11,17,Nicola LariniLAR,Osella Ford,1:22.620
12,8,Stefano ModenaMOD,Brabham Judd,1:22.826
13,3,Jonathan  PalmerPAL,Tyrrell Ford,1:23.052
14,19,Alessandro NanniniNAN,Benetton Ford,1:23.105
15,22,Andrea de CesarisDEC,Dallara Ford,1:23.186
16,9,Derek WarwickWAR,Arrows Ford,1:23.222
17,37,Jyrki JarvilehtoJAR,Onyx Ford,1:23.243
18,12,Satoru NakajimaNAK,Lotus Judd,1:23.309
19,16,Ivan CapelliCAP,March Judd,1:23.401
20,24,Luis Perez-SalaPER,Minardi Ford,1:23.443
21,5,Thierry BoutsenBOU,Williams Renault,1:23.657
22,10,Eddie  CheeverCHE,Arrows Ford,1:23.729
23,21,Alex CaffiCAF,Dallara Ford,1:23.763
24,26,Olivier GrouillardGRO,Ligier Ford,1:23.931
25,18,Piercarlo GhinzaniGHI,Osella Ford,1:24.003
26,15,Mauricio GugelminGUG,March Judd,1:24.707
