Pos,No,Driver,Car,Time
1,1,Mika HakkinenHAK,McLaren Mercedes,1:30.556
2,2,David CoulthardCOU,McLaren Mercedes,1:30.910
3,3,Michael SchumacherMSC,Ferrari,1:31.075
4,4,Rubens BarrichelloBAR,Ferrari,1:31.102
5,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:31.359
6,6,Jarno TrulliTRU,Jordan Mugen Honda,1:31.504
7,7,Eddie IrvineIRV,Jaguar Cosworth,1:31.514
8,22,Jacques VilleneuveVIL,BAR Honda,1:31.968
9,11,Giancarlo FisichellaFIS,Benetton Playlife,1:31.992
10,17,Mika SaloSAL,Sauber Petronas,1:32.018
11,9,Ralf SchumacherRSC,Williams BMW,1:32.220
12,18,Pedro de la RosaDLR,Arrows Supertec,1:32.323
13,19,Jos VerstappenVER,Arrows Supertec,1:32.477
14,12,Alexander WurzWUR,Benetton Playlife,1:32.775
15,15,Nick HeidfeldHEI,Prost Peugeot,1:33.024
16,23,Ricardo ZontaZON,BAR Honda,1:33.117
17,14,Jean AlesiALE,Prost Peugeot,1:33.197
18,20,Marc GeneGEN,Minardi Fondmetal,1:33.261
19,16,Pedro DinizDIN,Sauber Petronas,1:33.378
20,8,Johnny HerbertHER,Jaguar Cosworth,1:33.638
21,10,Jenson ButtonBUT,Williams BMW,1:33.828
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,1:34.705
