Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Nico RosbergROS,Mercedes,1:33.015,1:32.632,1:32.584,16
2,44,Lewis HamiltonHAM,Mercedes,1:32.844,1:32.789,1:32.660,15
3,77,Valtteri BottasBOT,Williams Mercedes,1:34.326,1:33.416,1:33.024,11
4,5,Sebastian VettelVET,Ferrari,1:34.431,1:33.844,1:33.245,11
5,19,Felipe MassaMAS,Williams Mercedes,1:34.744,1:33.377,1:33.337,12
6,7,Kimi RäikkönenRAI,Ferrari,1:34.171,1:33.361,1:33.347,10
7,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:34.399,1:34.153,1:33.497,17
8,8,Romain GrosjeanGRO,Lotus Mercedes,1:34.398,1:34.278,1:33.967,19
9,11,Sergio PerezPER,Force India Mercedes,1:35.001,1:34.174,DNF,16
10,26,Daniil KvyatKVY,Red Bull Racing Renault,1:34.646,1:34.201,DNF,15
11,27,Nico HulkenbergHUL,Force India Mercedes,1:35.328,1:34.390,,13
12,55,Carlos SainzSAI,STR Renault,1:34.873,1:34.453,,15
13,13,Pastor MaldonadoMAL,Lotus Mercedes,1:34.796,1:34.497,,13
14,14,Fernando AlonsoALO,McLaren Honda,1:35.467,1:34.785,,8
15,33,Max VerstappenVER,STR Renault,1:34.522,,,8
16,22,Jenson ButtonBUT,McLaren Honda,1:35.664,,,6
17,9,Marcus EricssonERI,Sauber Ferrari,1:35.673,,,5
18,12,Felipe NasrNAS,Sauber Ferrari,1:35.760,,,6
19,28,Will StevensSTE,Marussia Ferrari,1:38.783,,,5
NC,53,Alexander RossiRSI,Marussia Ferrari,1:47.114,,,5
