Pos,No,Driver,Car,Time
1,8,Mika HakkinenHAK,McLaren Mercedes,1:23.271
2,3,Michael SchumacherMSC,Ferrari,1:23.720
3,1,Jacques VilleneuveVIL,Williams Mecachrome,1:24.102
4,7,David CoulthardCOU,McLaren Mercedes,1:24.310
5,4,Eddie IrvineIRV,Ferrari,1:24.436
6,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:24.442
7,9,Damon HillHIL,Jordan Mugen Honda,1:24.542
8,14,Jean AlesiALE,Sauber Petronas,1:25.081
9,15,Johnny HerbertHER,Sauber Petronas,1:25.084
10,5,Giancarlo FisichellaFIS,Benetton Playlife,1:25.654
11,6,Alexander WurzWUR,Benetton Playlife,1:25.760
12,16,Pedro DinizDIN,Arrows,1:26.376
13,17,Mika SaloSAL,Arrows,1:26.487
14,12,Jarno TrulliTRU,Prost Peugeot,1:26.808
15,19,Jos VerstappenVER,Stewart Ford,1:26.948
16,18,Rubens BarrichelloBAR,Stewart Ford,1:26.990
17,21,Toranosuke TakagiTAK,Tyrrell Ford,1:27.061
18,23,Esteban TueroTUE,Minardi Ford,1:28.051
19,22,Shinji NakanoNAK,Minardi Ford,1:28.123
20,20,Ricardo RossetROS,Tyrrell Ford,1:28.608
21,10,Ralf SchumacherRSC,Jordan Mugen Honda,
22,11,Olivier PanisPAN,Prost Peugeot,
