Pos,No,Driver,Car,Time,Laps
1,9,Kimi RäikkönenRAI,McLaren Mercedes,1:26.797,3
2,6,Giancarlo FisichellaFIS,Renault,1:27.039,3
3,5,Fernando AlonsoALO,Renault,1:27.050,3
4,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:27.352,3
5,16,Jarno TrulliTRU,Toyota,1:27.501,3
6,8,Nick HeidfeldHEI,Williams BMW,1:27.929,3
7,7,Mark WebberWEB,Williams BMW,1:27.944,3
8,12,Felipe MassaMAS,Sauber Petronas,1:28.419,3
9,17,Ralf SchumacherRSC,Toyota,1:28.594,3
10,15,Christian KlienKLI,RBR Cosworth,1:28.963,3
11,2,Rubens BarrichelloBAR,Ferrari,1:29.369,3
12,14,David CoulthardCOU,RBR Cosworth,1:29.764,3
13,3,Jenson ButtonBUT,BAR Honda,1:30.063,3
14,18,Tiago MonteiroMON,Jordan Toyota,1:30.710,3
15,21,Christijan AlbersALB,Minardi Cosworth,1:32.186,3
16,1,Michael SchumacherMSC,Ferrari,,2
17,11,Jacques VilleneuveVIL,Sauber Petronas,,2
18,19,Narain KarthikeyanKAR,Jordan Toyota,,1
19,20,Robert DoornbosDOO,Minardi Cosworth,,2
