Pos,No,Driver,Car,Time
1,22,Jyrki JarvilehtoJAR,Dallara Judd,1:24.825
1,5,Nigel MansellMAN,Williams Renault,1:20.939
2,1,Ayrton SennaSEN,McLaren Honda,1:21.618
2,33,Andrea de CesarisDEC,Jordan Ford,1:25.508
3,6,Riccardo PatresePAT,Williams Renault,1:22.109
3,21,Emanuele PirroPIR,Dallara Judd,1:25.726
4,2,Gerhard BergerBER,McLaren Honda,1:22.476
4,32,Bertrand GachotGAC,Jordan Ford,1:25.931
5,27,Alain ProstPRO,Ferrari,1:22.478
5,14,Olivier GrouillardGRO,Fondmetal Ford,1:26.299
6,28,Jean AlesiALE,Ferrari,1:22.881
6,34,Nicola LariniLAR,Lambo Lamborghini,1:28.042
7,19,Roberto MorenoMOR,Benetton Ford,1:23.265
7,35,Eric van de PoeleVAN,Lambo Lamborghini,1:28.827
8,20,Nelson PiquetPIQ,Benetton Ford,1:23.626
8,31,Pedro ChavesCHA,Coloni Ford,1:29.735
9,15,Mauricio GugelminGUG,Leyton House Ilmor,1:24.044
10,4,Stefano ModenaMOD,Tyrrell Honda,1:24.069
12,8,Mark BlundellBLU,Brabham Yamaha,1:24.165
14,7,Martin BrundleBRU,Brabham Yamaha,1:24.345
15,3,Satoru NakajimaNAK,Tyrrell Honda,1:24.560
16,16,Ivan CapelliCAP,Leyton House Ilmor,1:24.587
19,25,Thierry BoutsenBOU,Ligier Lamborghini,1:25.174
20,24,Gianni MorbidelliMOR,Minardi Ferrari,1:25.222
21,29,Eric BernardBER,Lola Ford,1:25.537
22,30,Aguri SuzukiSUZ,Lola Ford,1:25.583
23,23,Pierluigi MartiniMAR,Minardi Ferrari,1:25.583
24,12,Johnny HerbertHER,Lotus Judd,1:25.689
25,11,Mika HakkinenHAK,Lotus Judd,1:25.872
26,9,Michele AlboretoALB,Footwork Porsche,1:26.192
27,26,Erik ComasCOM,Ligier Lamborghini,1:26.392
28,10,Stefan JohanssonJOH,Footwork Porsche,1:26.544
29,18,Fabrizio BarbazzaBAR,AGS Ford,1:28.122
30,17,Gabriele TarquiniTAR,AGS Ford,1:28.136
