Pos,No,Driver,Car,Time
1,22,Jyrki JarvilehtoJAR,Dallara Judd,1:28.381
1,6,Riccardo PatresePAT,Williams Renault,1:16.696
2,5,Nigel MansellMAN,Williams Renault,1:16.978
2,14,Olivier GrouillardGRO,Fondmetal Ford,1:28.959
3,1,Ayrton SennaSEN,McLaren Honda,1:17.264
3,33,Andrea de CesarisDEC,Jordan Ford,1:29.545
4,28,Jean AlesiALE,Ferrari,1:18.129
4,32,Bertrand GachotGAC,Jordan Ford,1:30.599
5,35,Eric van de PoeleVAN,Lambo Lamborghini,1:30.655
5,2,Gerhard BergerBER,McLaren Honda,1:18.156
6,20,Nelson PiquetPIQ,Benetton Ford,1:18.168
6,31,Pedro ChavesCHA,Coloni Ford,1:37.144
7,21,Emanuele PirroPIR,Dallara Judd,1:40.164
7,27,Alain ProstPRO,Ferrari,1:18.183
8,4,Stefano ModenaMOD,Tyrrell Honda,1:18.216
9,19,Roberto MorenoMOR,Benetton Ford,1:18.375
12,8,Mark BlundellBLU,Brabham Yamaha,1:19.064
13,3,Satoru NakajimaNAK,Tyrrell Honda,1:19.092
14,25,Thierry BoutsenBOU,Ligier Lamborghini,1:19.201
15,23,Pierluigi MartiniMAR,Minardi Ferrari,1:19.215
17,7,Martin BrundleBRU,Brabham Yamaha,1:19.647
18,29,Eric BernardBER,Lola Ford,1:19.785
19,30,Aguri SuzukiSUZ,Lola Ford,1:20.049
21,15,Mauricio GugelminGUG,Leyton House Ilmor,1:20.200
22,16,Ivan CapelliCAP,Leyton House Ilmor,1:20.252
23,24,Gianni MorbidelliMOR,Minardi Ferrari,1:20.322
24,11,Mika HakkinenHAK,Lotus Judd,1:20.823
25,12,Johnny HerbertHER,Lotus Judd,1:20.830
26,9,Michele AlboretoALB,Footwork Porsche,1:21.178
27,26,Erik ComasCOM,Ligier Lamborghini,1:21.225
28,17,Gabriele TarquiniTAR,AGS Ford,1:22.258
29,10,Stefan JohanssonJOH,Footwork Porsche,1:22.598
30,18,Fabrizio BarbazzaBAR,AGS Ford,1:22.899
