Pos,No,Driver,Car,Time
1,7,Martin BrundleBRU,Brabham Yamaha,1:41.289
1,2,Gerhard BergerBER,McLaren Honda,1:34.700
2,1,Ayrton SennaSEN,McLaren Honda,1:34.898
2,10,Alex CaffiCAF,Footwork Porsche,1:42.382
3,5,Nigel MansellMAN,Williams Renault,1:34.922
3,9,Michele AlboretoALB,Footwork Porsche,1:42.479
4,14,Gabriele TarquiniTAR,Fondmetal Ford,1:43.025
4,27,Alain ProstPRO,Ferrari,1:36.670
5,8,Mark BlundellBLU,Brabham Yamaha,1:44.004
5,6,Riccardo PatresePAT,Williams Renault,1:36.882
6,28,Jean AlesiALE,Ferrari,1:37.140
6,31,Naoki HattoriHAT,Coloni Ford,2:00.035
7,23,Pierluigi MartiniMAR,Minardi Ferrari,1:38.154
8,24,Gianni MorbidelliMOR,Minardi Ferrari,1:38.248
9,19,Michael SchumacherMSC,Benetton Ford,1:38.363
10,20,Nelson PiquetPIQ,Benetton Ford,1:38.614
11,33,Andrea de CesarisDEC,Jordan Ford,1:38.842
12,22,Jyrki JarvilehtoJAR,Dallara Judd,1:38.911
13,32,Alessandro ZanardiZAN,Jordan Ford,1:38.923
14,4,Stefano ModenaMOD,Tyrrell Honda,1:38.926
15,3,Satoru NakajimaNAK,Tyrrell Honda,1:39.118
16,21,Emanuele PirroPIR,Dallara Judd,1:39.238
17,25,Thierry BoutsenBOU,Ligier Lamborghini,1:39.499
18,15,Mauricio GugelminGUG,Leyton House Ilmor,1:39.518
20,26,Erik ComasCOM,Ligier Lamborghini,1:39.820
21,11,Mika HakkinenHAK,Lotus Judd,1:40.024
22,16,Karl WendlingerWEN,Leyton House Ilmor,1:40.092
23,12,Johnny HerbertHER,Lotus Judd,1:40.170
25,30,Aguri SuzukiSUZ,Lola Ford,1:40.255
28,34,Nicola LariniLAR,Lambo Lamborghini,1:42.492
29,35,Eric van de PoeleVAN,Lambo Lamborghini,1:42.724
