Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,7,Kimi RäikkönenRAI,Ferrari,1:13.117,1:12.231,1:12.178,23
2,5,Sebastian VettelVET,Ferrari,1:13.090,1:12.449,1:12.221,23
3,77,Valtteri BottasBOT,Mercedes,1:13.325,1:12.901,1:12.223,30
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:13.078,1:12.697,1:12.496,24
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:13.219,1:13.011,1:12.998,21
6,55,Carlos SainzSAI,Toro Rosso,1:13.526,1:13.397,1:13.162,30
7,11,Sergio PerezPER,Force India Mercedes,1:13.530,1:13.430,1:13.329,23
8,8,Romain GrosjeanGRO,Haas Ferrari,1:13.786,1:13.203,1:13.349,29
9,22,Jenson ButtonBUT,McLaren Honda,1:13.723,1:13.453,1:13.613,27
10,2,Stoffel VandoorneVAN,McLaren Honda,1:13.476,1:13.249,,20
11,26,Daniil KvyatKVY,Toro Rosso,1:13.899,1:13.516,,19
12,27,Nico HulkenbergHUL,Renault,1:13.787,1:13.628,,21
13,20,Kevin MagnussenMAG,Haas Ferrari,1:13.531,1:13.959,,20
14,44,Lewis HamiltonHAM,Mercedes,1:13.640,1:14.106,,18
15,19,Felipe MassaMAS,Williams Mercedes,1:13.796,1:20.529,,20
16,31,Esteban OconOCO,Force India Mercedes,1:14.101,,,7
17,30,Jolyon PalmerPAL,Renault,1:14.696,,,11
18,18,Lance StrollSTR,Williams Mercedes,1:14.893,,,7
19,94,Pascal WehrleinWEH,Sauber Ferrari,1:15.159,,,11
20,9,Marcus EricssonERI,Sauber Ferrari,1:15.276,,,11
