Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,53,1:31:50.744,25
2,6,Nico RosbergROS,Mercedes,53,+13.657s,18
3,77,Valtteri BottasBOT,Williams Mercedes,53,+17.425s,15
4,22,Jenson ButtonBUT,McLaren Mercedes,53,+30.234s,12
5,20,Kevin MagnussenMAG,McLaren Mercedes,53,+53.616s,10
6,14,Fernando AlonsoALO,Ferrari,53,+60.016s,8
7,3,Daniel RicciardoRIC,Red Bull Racing Renault,53,+61.812s,6
8,1,Sebastian VettelVET,Red Bull Racing Renault,53,+66.185s,4
9,7,Kimi RäikkönenRAI,Ferrari,53,+78.877s,2
10,11,Sergio PerezPER,Force India Mercedes,53,+80.067s,1
11,19,Felipe MassaMAS,Williams Mercedes,53,+80.877s,0
12,27,Nico HulkenbergHUL,Force India Mercedes,53,+81.309s,0
13,25,Jean-Eric VergneVER,STR Renault,53,+97.295s,0
14,26,Daniil KvyatKVY,STR Renault,52,+1 lap,0
15,21,Esteban Gutierrez GUT,Sauber Ferrari,52,+1 lap,0
16,99,Adrian SutilSUT,Sauber Ferrari,52,+1 lap,0
17,8,Romain GrosjeanGRO,Lotus Renault,52,+1 lap,0
18,13,Pastor MaldonadoMAL,Lotus Renault,52,+1 lap,0
19,9,Marcus EricssonERI,Caterham Renault,51,+2 laps,0
NC,10,Kamui KobayashiKOB,Caterham Renault,21,DNF,0
NC,4,Max ChiltonCHI,Marussia Ferrari,9,DNF,0
