Pos,No,Driver,Car,Time
1,1,Alain ProstPRO,McLaren TAG,1:22.627
2,5,Nigel MansellMAN,Williams Honda,1:23.047
3,12,Ayrton SennaSEN,Lotus Renault,1:23.175
4,27,Michele AlboretoALB,Ferrari,1:23.904
5,20,Gerhard BergerBER,Benetton BMW,1:23.960
6,7,Riccardo PatresePAT,Brabham BMW,1:24.102
7,26,Jacques LaffiteLAF,Ligier Renault,1:24.402
8,16,Patrick TambayTAM,Lola Hart,1:24.686
9,2,Keke RosbergROS,McLaren TAG,1:24.701
10,3,Martin BrundleBRU,Tyrrell Renault,1:24.860
11,6,Nelson PiquetPIQ,Williams Honda,1:25.287
12,25,Rene ArnouxARN,Ligier Renault,1:25.538
13,4,Philippe StreiffSTR,Tyrrell Renault,1:25.720
14,18,Thierry BoutsenBOU,Arrows BMW,1:25.832
15,28,Stefan JohanssonJOH,Ferrari,1:25.907
16,19,Teo FabiFAB,Benetton BMW,1:25.926
17,17,Marc SurerSUR,Arrows BMW,1:26.300
18,15,Alan  JonesJON,Lola Hart,1:26.456
19,14,Jonathan  PalmerPAL,Zakspeed,1:26.644
20,8,Elio de AngelisDEA,Brabham BMW,1:27.191
