Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Nico RosbergROS,Mercedes,1:45.316,1:43.020,1:42.584,12
2,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:44.255,1:43.933,1:43.115,12
3,44,Lewis HamiltonHAM,Mercedes,1:45.167,1:43.471,1:43.288,12
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:45.036,1:44.112,1:43.328,12
5,7,Kimi RäikkönenRAI,Ferrari,1:44.964,1:44.159,1:43.540,12
6,55,Carlos SainzSAI,Toro Rosso Ferrari,1:45.499,1:44.493,1:44.197,14
7,26,Daniil KvyatKVY,Toro Rosso Ferrari,1:45.291,1:44.475,1:44.469,15
8,27,Nico HulkenbergHUL,Force India Mercedes,1:46.081,1:44.737,1:44.479,17
9,14,Fernando AlonsoALO,McLaren Honda,1:45.373,1:44.653,1:44.553,15
10,11,Sergio PerezPER,Force India Mercedes,1:45.204,1:44.703,1:44.582,20
11,77,Valtteri BottasBOT,Williams Mercedes,1:46.086,1:44.740,,11
12,19,Felipe MassaMAS,Williams Mercedes,1:46.056,1:44.991,,11
13,22,Jenson ButtonBUT,McLaren Honda,1:45.262,1:45.144,,13
14,21,Esteban Gutierrez GUT,Haas Ferrari,1:45.465,1:45.593,,12
15,8,Romain GrosjeanGRO,Haas Ferrari,1:45.609,1:45.723,,11
16,9,Marcus EricssonERI,Sauber Ferrari,1:46.427,1:47.827,,12
17,20,Kevin MagnussenMAG,Renault,1:46.825,,,9
18,12,Felipe NasrNAS,Sauber Ferrari,1:46.860,,,8
19,30,Jolyon PalmerPAL,Renault,1:46.960,,,9
20,94,Pascal WehrleinWEH,MRT Mercedes,1:47.667,,,8
21,31,Esteban OconOCO,MRT Mercedes,1:48.296,,,9
22,5,Sebastian VettelVET,Ferrari,1:49.116,,,4
