Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:39.487,1:39.382,1:38.755,12
2,6,Nico RosbergROS,Mercedes,1:40.511,1:39.490,1:39.058,12
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:41.002,1:40.429,1:39.589,17
4,7,Kimi RäikkönenRAI,Ferrari,1:40.338,1:39.629,1:39.604,14
5,5,Sebastian VettelVET,Ferrari,1:40.341,1:40.034,1:39.661,14
6,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:40.424,1:39.903,1:39.818,13
7,27,Nico HulkenbergHUL,Force India Mercedes,1:41.000,1:40.709,1:40.501,12
8,11,Sergio PerezPER,Force India Mercedes,1:40.864,1:40.743,1:40.519,12
9,14,Fernando AlonsoALO,McLaren Honda,1:41.616,1:41.044,1:41.106,17
10,19,Felipe MassaMAS,Williams Mercedes,1:41.157,1:40.858,1:41.213,15
11,77,Valtteri BottasBOT,Williams Mercedes,1:41.192,1:41.084,,9
12,22,Jenson ButtonBUT,McLaren Honda,1:41.158,1:41.272,,14
13,21,Esteban Gutierrez GUT,Haas Ferrari,1:41.639,1:41.480,,16
14,8,Romain GrosjeanGRO,Haas Ferrari,1:41.467,1:41.564,,15
15,30,Jolyon PalmerPAL,Renault,1:41.775,1:41.820,,14
16,94,Pascal WehrleinWEH,MRT Mercedes,1:41.886,1:41.995,,14
17,26,Daniil KvyatKVY,Toro Rosso Ferrari,1:42.003,,,9
18,20,Kevin MagnussenMAG,Renault,1:42.142,,,6
19,12,Felipe NasrNAS,Sauber Ferrari,1:42.247,,,8
20,31,Esteban OconOCO,MRT Mercedes,1:42.286,,,8
21,55,Carlos SainzSAI,Toro Rosso Ferrari,1:42.393,,,9
22,9,Marcus EricssonERI,Sauber Ferrari,1:42.637,,,8
