Pos,No,Driver,Car,Time
1,3,Jacques VilleneuveVIL,Williams Renault,1:24.473
2,4,Heinz-Harald FrentzenFRE,Williams Renault,1:25.271
3,14,Olivier PanisPAN,Prost Mugen Honda,1:25.491
4,5,Michael SchumacherMSC,Ferrari,1:25.773
5,22,Rubens BarrichelloBAR,Stewart Ford,1:25.942
6,11,Ralf SchumacherRSC,Jordan Peugeot,1:26.218
7,6,Eddie IrvineIRV,Ferrari,1:26.327
8,16,Johnny HerbertHER,Sauber Petronas,1:26.564
9,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:26.619
10,10,David CoulthardCOU,McLaren Mercedes,1:26.799
11,7,Jean AlesiALE,Benetton Renault,1:27.076
12,8,Gerhard BergerBER,Benetton Renault,1:27.259
13,1,Damon HillHIL,Arrows Yamaha,1:27.281
14,17,Nicola LariniLAR,Sauber Petronas,1:27.690
15,23,Jan MagnussenMAG,Stewart Ford,1:28.035
16,18,Jos VerstappenVER,Tyrrell Ford,1:28.094
17,9,Mika HakkinenHAK,McLaren Mercedes,1:28.135
18,21,Jarno TrulliTRU,Minardi Hart,1:28.160
19,19,Mika SaloSAL,Tyrrell Ford,1:28.224
20,15,Shinji NakanoNAK,Prost Mugen Honda,1:28.366
21,20,Ukyo KatayamaKAT,Minardi Hart,1:28.413
22,2,Pedro DinizDIN,Arrows Yamaha,1:28.969
