Pos,No,Driver,Car,Time
1,7,Jean AlesiALE,Benetton Renault,1:22.990
2,4,Heinz-Harald FrentzenFRE,Williams Renault,1:23.042
3,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:23.066
4,3,Jacques VilleneuveVIL,Williams Renault,1:23.231
5,9,Mika HakkinenHAK,McLaren Mercedes,1:23.340
6,10,David CoulthardCOU,McLaren Mercedes,1:23.347
7,8,Gerhard BergerBER,Benetton Renault,1:23.443
8,11,Ralf SchumacherRSC,Jordan Peugeot,1:23.603
9,5,Michael SchumacherMSC,Ferrari,1:23.624
10,6,Eddie IrvineIRV,Ferrari,1:23.891
11,22,Rubens BarrichelloBAR,Stewart Ford,1:24.177
12,16,Johnny HerbertHER,Sauber Petronas,1:24.242
13,23,Jan MagnussenMAG,Stewart Ford,1:24.394
14,1,Damon HillHIL,Arrows Yamaha,1:24.482
15,15,Shinji NakanoNAK,Prost Mugen Honda,1:24.553
16,14,Jarno TrulliTRU,Prost Mugen Honda,1:24.567
17,2,Pedro DinizDIN,Arrows Yamaha,1:24.639
18,17,Gianni MorbidelliMOR,Sauber Petronas,1:24.735
19,19,Mika SaloSAL,Tyrrell Ford,1:25.693
20,18,Jos VerstappenVER,Tyrrell Ford,1:25.845
21,20,Ukyo KatayamaKAT,Minardi Hart,1:26.655
22,21,Tarso MarquesMAR,Minardi Hart,1:27.677
