Pos,No,Driver,Car,Time
1,3,Jacques VilleneuveVIL,Williams Renault,1:29.369
2,4,Heinz-Harald FrentzenFRE,Williams Renault,1:31.123
3,5,Michael SchumacherMSC,Ferrari,1:31.472
4,10,David CoulthardCOU,McLaren Mercedes,1:31.531
5,6,Eddie IrvineIRV,Ferrari,1:31.881
6,9,Mika HakkinenHAK,McLaren Mercedes,1:31.971
7,16,Johnny HerbertHER,Sauber Petronas,1:32.287
8,7,Jean AlesiALE,Benetton Renault,1:32.593
9,14,Olivier PanisPAN,Prost Mugen Honda,1:32.842
10,8,Gerhard BergerBER,Benetton Renault,1:32.870
11,22,Rubens BarrichelloBAR,Stewart Ford,1:33.075
12,11,Ralf SchumacherRSC,Jordan Peugeot,1:33.130
13,17,Nicola LariniLAR,Sauber Petronas,1:33.327
14,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:33.552
15,20,Ukyo KatayamaKAT,Minardi Hart,1:33.798
16,15,Shinji NakanoNAK,Prost Mugen Honda,1:33.989
17,21,Jarno TrulliTRU,Minardi Hart,1:34.120
18,19,Mika SaloSAL,Tyrrell Ford,1:34.229
19,23,Jan MagnussenMAG,Stewart Ford,1:34.623
20,1,Damon HillHIL,Arrows Yamaha,1:34.806
21,18,Jos VerstappenVER,Tyrrell Ford,1:34.943
22,2,Pedro DinizDIN,Arrows Yamaha,1:35.972
