Pos,No,Driver,Car,Time
1,8,Gerhard BergerBER,Benetton Renault,1:41.873
2,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:41.896
3,9,Mika HakkinenHAK,McLaren Mercedes,1:42.034
4,5,Michael SchumacherMSC,Ferrari,1:42.181
5,4,Heinz-Harald FrentzenFRE,Williams Renault,1:42.421
6,7,Jean AlesiALE,Benetton Renault,1:42.493
7,11,Ralf SchumacherRSC,Jordan Peugeot,1:42.498
8,10,David CoulthardCOU,McLaren Mercedes,1:42.687
9,3,Jacques VilleneuveVIL,Williams Renault,1:42.967
10,6,Eddie IrvineIRV,Ferrari,1:43.209
11,14,Jarno TrulliTRU,Prost Mugen Honda,1:43.226
12,22,Rubens BarrichelloBAR,Stewart Ford,1:43.272
13,1,Damon HillHIL,Arrows Yamaha,1:43.361
14,16,Johnny HerbertHER,Sauber Petronas,1:43.660
15,23,Jan MagnussenMAG,Stewart Ford,1:43.927
16,2,Pedro DinizDIN,Arrows Yamaha,1:44.069
17,15,Shinji NakanoNAK,Prost Mugen Honda,1:44.112
18,17,Norberto FontanaFON,Sauber Petronas,1:44.552
19,19,Mika SaloSAL,Tyrrell Ford,1:45.372
20,18,Jos VerstappenVER,Tyrrell Ford,1:45.811
21,21,Tarso MarquesMAR,Minardi Hart,1:45.942
22,20,Ukyo KatayamaKAT,Minardi Hart,1:46.499
