Pos,No,Driver,Car,Time
1,5,Michael SchumacherMSC,Ferrari,1:18.095
2,3,Jacques VilleneuveVIL,Williams Renault,1:18.108
3,22,Rubens BarrichelloBAR,Stewart Ford,1:18.388
4,4,Heinz-Harald FrentzenFRE,Williams Renault,1:18.464
5,10,David CoulthardCOU,McLaren Mercedes,1:18.466
6,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:18.750
7,11,Ralf SchumacherRSC,Jordan Peugeot,1:18.869
8,7,Jean AlesiALE,Benetton Renault,1:18.899
9,9,Mika HakkinenHAK,McLaren Mercedes,1:18.916
10,14,Olivier PanisPAN,Prost Mugen Honda,1:19.034
11,8,Alexander WurzWUR,Benetton Renault,1:19.286
12,6,Eddie IrvineIRV,Ferrari,1:19.503
13,16,Johnny HerbertHER,Sauber Petronas,1:19.622
14,18,Jos VerstappenVER,Tyrrell Ford,1:20.102
15,1,Damon HillHIL,Arrows Yamaha,1:20.129
16,2,Pedro DinizDIN,Arrows Yamaha,1:20.175
17,19,Mika SaloSAL,Tyrrell Ford,1:20.336
18,17,Gianni MorbidelliMOR,Sauber Petronas,1:20.357
19,15,Shinji NakanoNAK,Prost Mugen Honda,1:20.370
20,21,Jarno TrulliTRU,Minardi Hart,1:20.370
21,23,Jan MagnussenMAG,Stewart Ford,1:20.491
22,20,Ukyo KatayamaKAT,Minardi Hart,1:21.034
