Pos,No,Driver,Car,Time
1,6,Juan Pablo MontoyaMOY,Williams BMW,1:29.906
2,5,Ralf SchumacherRSC,Williams BMW,1:29.915
3,1,Michael SchumacherMSC,Ferrari,1:30.035
4,2,Rubens BarrichelloBAR,Ferrari,1:30.387
5,3,David CoulthardCOU,McLaren Mercedes,1:30.550
6,4,Kimi RäikkönenRAI,McLaren Mercedes,1:30.591
7,14,Jarno TrulliTRU,Renault,1:30.927
8,15,Jenson ButtonBUT,Renault,1:31.136
9,7,Nick HeidfeldHEI,Sauber Petronas,1:31.211
10,24,Mika SaloSAL,Toyota,1:31.389
11,8,Felipe MassaMAS,Sauber Petronas,1:31.733
12,12,Olivier PanisPAN,BAR Honda,1:31.906
13,25,Allan McNishMCN,Toyota,1:31.941
14,10,Takuma SatoSAT,Jordan Honda,1:31.999
15,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:32.144
16,17,Pedro de la RosaDLR,Jaguar Cosworth,1:32.281
17,16,Eddie IrvineIRV,Jaguar Cosworth,1:32.510
18,9,Giancarlo FisichellaFIS,Jordan Honda,1:32.591
19,11,Jacques VilleneuveVIL,BAR Honda,1:32.968
20,23,Mark WebberWEB,Minardi Asiatech,1:32.996
21,21,Enrique BernoldiBER,Arrows Cosworth,1:33.360
22,22,Alex YoongYOO,Minardi Asiatech,1:34.251
