Pos,No,Driver,Car,Time
1,6,Juan Pablo MontoyaMOY,Williams BMW,1:16.676
2,3,David CoulthardCOU,McLaren Mercedes,1:17.068
3,1,Michael SchumacherMSC,Ferrari,1:17.118
4,5,Ralf SchumacherRSC,Williams BMW,1:17.274
5,2,Rubens BarrichelloBAR,Ferrari,1:17.357
6,4,Kimi RäikkönenRAI,McLaren Mercedes,1:17.660
7,14,Jarno TrulliTRU,Renault,1:17.710
8,15,Jenson ButtonBUT,Renault,1:18.132
9,24,Mika SaloSAL,Toyota,1:18.234
10,25,Allan McNishMCN,Toyota,1:18.292
11,9,Giancarlo FisichellaFIS,Jordan Honda,1:18.342
12,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:18.607
13,8,Felipe MassaMAS,Sauber Petronas,1:19.006
14,11,Jacques VilleneuveVIL,BAR Honda,1:19.252
15,21,Enrique BernoldiBER,Arrows Cosworth,1:19.412
16,10,Takuma SatoSAT,Jordan Honda,1:19.461
17,7,Nick HeidfeldHEI,Sauber Petronas,1:19.500
18,12,Olivier PanisPAN,BAR Honda,1:19.569
19,23,Mark WebberWEB,Minardi Asiatech,1:19.674
20,17,Pedro de la RosaDLR,Jaguar Cosworth,1:19.796
21,16,Eddie IrvineIRV,Jaguar Cosworth,1:20.139
22,22,Alex YoongYOO,Minardi Asiatech,1:21.599
