Pos,No,Driver,Car,Time
1,1,Michael SchumacherMSC,Ferrari,1:35.266
2,6,Juan Pablo MontoyaMOY,Williams BMW,1:35.497
3,2,Rubens BarrichelloBAR,Ferrari,1:35.891
4,5,Ralf SchumacherRSC,Williams BMW,1:36.028
5,4,Kimi RäikkönenRAI,McLaren Mercedes,1:36.468
6,3,David CoulthardCOU,McLaren Mercedes,1:36.477
7,7,Nick HeidfeldHEI,Sauber Petronas,1:37.199
8,15,Jenson ButtonBUT,Renault,1:37.245
9,9,Giancarlo FisichellaFIS,Jordan Honda,1:37.536
10,24,Mika SaloSAL,Toyota,1:37.694
11,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:37.919
12,14,Jarno TrulliTRU,Renault,1:37.920
13,11,Jacques VilleneuveVIL,BAR Honda,1:38.039
14,8,Felipe MassaMAS,Sauber Petronas,1:38.057
15,10,Takuma SatoSAT,Jordan Honda,1:38.141
16,21,Enrique BernoldiBER,Arrows Cosworth,1:38.284
17,17,Pedro de la RosaDLR,Jaguar Cosworth,1:38.374
18,12,Olivier PanisPAN,BAR Honda,1:38.390
19,25,Allan McNishMCN,Toyota,1:38.959
20,16,Eddie IrvineIRV,Jaguar Cosworth,1:39.121
21,23,Mark WebberWEB,Minardi Asiatech,1:39.454
22,22,Alex YoongYOO,Minardi Asiatech,1:40.158
