Pos,No,Driver,Car,Time
1,6,Juan Pablo MontoyaMOY,Williams BMW,1:22.216
2,2,Rubens BarrichelloBAR,Ferrari,1:22.528
3,1,Michael SchumacherMSC,Ferrari,1:22.624
4,5,Ralf SchumacherRSC,Williams BMW,1:22.841
5,11,Jarno TrulliTRU,Jordan Honda,1:23.126
6,4,David CoulthardCOU,McLaren Mercedes,1:23.148
7,3,Mika HakkinenHAK,McLaren Mercedes,1:23.394
8,16,Nick HeidfeldHEI,Sauber Petronas,1:23.417
9,17,Kimi RäikkönenRAI,Sauber Petronas,1:23.595
10,19,Pedro de la RosaDLR,Jaguar Cosworth,1:23.693
11,8,Jenson ButtonBUT,Benetton Renault,1:23.892
12,22,Heinz-Harald FrentzenFRE,Prost Acer,1:23.943
13,18,Eddie IrvineIRV,Jaguar Cosworth,1:24.031
14,7,Giancarlo FisichellaFIS,Benetton Renault,1:24.090
15,10,Jacques VilleneuveVIL,BAR Honda,1:24.164
16,12,Jean AlesiALE,Jordan Honda,1:24.198
17,9,Olivier PanisPAN,BAR Honda,1:24.677
18,15,Enrique BernoldiBER,Arrows Asiatech,1:25.444
19,14,Jos VerstappenVER,Arrows Asiatech,1:25.511
20,23,Tomas EngeENG,Prost Acer,1:26.039
21,21,Fernando AlonsoALO,Minardi European,1:26.218
22,20,Alex YoongYOO,Minardi European,1:27.463
