Pos,No,Driver,Car,Time
1,1,Michael SchumacherMSC,Ferrari,1:26.892
2,2,Rubens BarrichelloBAR,Ferrari,1:27.263
3,3,Mika HakkinenHAK,McLaren Mercedes,1:27.461
4,11,Heinz-Harald FrentzenFRE,Jordan Honda,1:27.658
5,5,Ralf SchumacherRSC,Williams BMW,1:27.719
6,4,David CoulthardCOU,McLaren Mercedes,1:28.010
7,12,Jarno TrulliTRU,Jordan Honda,1:28.377
8,10,Jacques VilleneuveVIL,BAR Honda,1:28.435
9,9,Olivier PanisPAN,BAR Honda,1:28.518
10,16,Nick HeidfeldHEI,Sauber Petronas,1:28.615
11,6,Juan Pablo MontoyaMOY,Williams BMW,1:28.738
12,18,Eddie IrvineIRV,Jaguar Cosworth,1:28.965
13,17,Kimi RäikkönenRAI,Sauber Petronas,1:28.993
14,22,Jean AlesiALE,Prost Acer,1:29.893
15,14,Jos VerstappenVER,Arrows Asiatech,1:29.934
16,8,Jenson ButtonBUT,Benetton Renault,1:30.035
17,7,Giancarlo FisichellaFIS,Benetton Renault,1:30.209
18,15,Enrique BernoldiBER,Arrows Asiatech,1:30.520
19,21,Fernando AlonsoALO,Minardi European,1:30.657
20,23,Gaston MazzacaneMAZ,Prost Acer,1:30.798
21,19,Luciano BurtiBUR,Jaguar Cosworth,1:30.978
22,20,Tarso MarquesMAR,Minardi European,1:33.228
