Pos,No,Driver,Car,Time
1,1,Michael SchumacherMSC,Ferrari,1:09.562
2,6,Juan Pablo MontoyaMOY,Williams BMW,1:09.686
3,5,Ralf SchumacherRSC,Williams BMW,1:09.769
4,2,Rubens BarrichelloBAR,Ferrari,1:09.786
5,12,Jarno TrulliTRU,Jordan Honda,1:10.202
6,16,Nick HeidfeldHEI,Sauber Petronas,1:10.211
7,4,David CoulthardCOU,McLaren Mercedes,1:10.331
8,3,Mika HakkinenHAK,McLaren Mercedes,1:10.342
9,17,Kimi RäikkönenRAI,Sauber Petronas,1:10.396
10,9,Olivier PanisPAN,BAR Honda,1:10.435
11,11,Heinz-Harald FrentzenFRE,Jordan Honda,1:10.923
12,10,Jacques VilleneuveVIL,BAR Honda,1:11.058
13,18,Eddie IrvineIRV,Jaguar Cosworth,1:11.632
14,19,Pedro de la RosaDLR,Jaguar Cosworth,1:11.752
15,15,Enrique BernoldiBER,Arrows Asiatech,1:11.823
16,14,Jos VerstappenVER,Arrows Asiatech,1:12.187
17,23,Luciano BurtiBUR,Prost Acer,1:12.206
18,21,Fernando AlonsoALO,Minardi European,1:12.640
19,7,Giancarlo FisichellaFIS,Benetton Renault,1:12.644
20,22,Jean AlesiALE,Prost Acer,1:12.910
21,8,Jenson ButtonBUT,Benetton Renault,1:13.459
22,20,Tarso MarquesMAR,Minardi European,1:13.585
