Pos,No,Driver,Car,Time
1,1,Michael SchumacherMSC,Ferrari,1:35.220
2,2,Rubens BarrichelloBAR,Ferrari,1:35.319
3,5,Ralf SchumacherRSC,Williams BMW,1:35.511
4,3,Mika HakkinenHAK,McLaren Mercedes,1:36.040
5,12,Jarno TrulliTRU,Jordan Honda,1:36.180
6,6,Juan Pablo MontoyaMOY,Williams BMW,1:36.218
7,10,Jacques VilleneuveVIL,BAR Honda,1:36.397
8,4,David CoulthardCOU,McLaren Mercedes,1:36.417
9,11,Heinz-Harald FrentzenFRE,Jordan Honda,1:36.578
10,9,Olivier PanisPAN,BAR Honda,1:36.681
11,16,Nick HeidfeldHEI,Sauber Petronas,1:36.913
12,18,Eddie IrvineIRV,Jaguar Cosworth,1:37.140
13,22,Jean AlesiALE,Prost Acer,1:37.406
14,17,Kimi RäikkönenRAI,Sauber Petronas,1:37.728
15,19,Luciano BurtiBUR,Jaguar Cosworth,1:38.035
16,7,Giancarlo FisichellaFIS,Benetton Renault,1:38.086
17,8,Jenson ButtonBUT,Benetton Renault,1:38.258
18,14,Jos VerstappenVER,Arrows Asiatech,1:38.509
19,23,Gaston MazzacaneMAZ,Prost Acer,1:39.006
20,20,Tarso MarquesMAR,Minardi European,1:39.714
21,21,Fernando AlonsoALO,Minardi European,1:40.249
22,15,Enrique BernoldiBER,Arrows Asiatech,
