Pos,No,Driver,Car,Time
1,1,Michael SchumacherMSC,Ferrari,1:33.074
2,14,Mark WebberWEB,Jaguar Cosworth,1:33.715
3,2,Rubens BarrichelloBAR,Ferrari,1:33.756
4,3,Juan Pablo MontoyaMOY,Williams BMW,1:34.054
5,6,Kimi RäikkönenRAI,McLaren Mercedes,1:34.164
6,9,Jenson ButtonBUT,BAR Honda,1:34.221
7,4,Ralf SchumacherRSC,Williams BMW,1:34.235
8,7,Jarno TrulliTRU,Renault,1:34.413
9,5,David CoulthardCOU,McLaren Mercedes,1:34.602
10,16,Cristiano da MattaDAM,Toyota,1:34.917
11,12,Felipe MassaMAS,Sauber Petronas,1:35.039
12,11,Giancarlo FisichellaFIS,Sauber Petronas,1:35.061
13,15,Christian KlienKLI,Jaguar Cosworth,1:35.158
14,17,Olivier PanisPAN,Toyota,1:35.617
15,18,Nick HeidfeldHEI,Jordan Ford,1:36.569
16,20,Gianmaria BruniBRU,Minardi Cosworth,1:38.577
17,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:39.272
18,19,Giorgio PantanoPAN,Jordan Ford,1:39.902
19,8,Fernando AlonsoALO,Renault,
20,10,Takuma SatoSAT,BAR Honda,
