Pos,No,Driver,Car,Time
1,2,Rubens BarrichelloBAR,Ferrari,1:20.089
2,3,Juan Pablo MontoyaMOY,Williams BMW,1:20.620
3,1,Michael SchumacherMSC,Ferrari,1:20.637
4,8,Fernando AlonsoALO,Renault,1:20.645
5,10,Takuma SatoSAT,BAR Honda,1:20.715
6,9,Jenson ButtonBUT,BAR Honda,1:20.786
7,6,Kimi RäikkönenRAI,McLaren Mercedes,1:20.877
8,4,Antonio PizzoniaPIZ,Williams BMW,1:20.888
9,7,Jarno TrulliTRU,Renault,1:21.027
10,5,David CoulthardCOU,McLaren Mercedes,1:21.049
11,16,Ricardo ZontaZON,Toyota,1:21.520
12,14,Mark WebberWEB,Jaguar Cosworth,1:21.602
13,17,Olivier PanisPAN,Toyota,1:21.841
14,15,Christian KlienKLI,Jaguar Cosworth,1:21.989
15,11,Giancarlo FisichellaFIS,Sauber Petronas,1:22.239
16,12,Felipe MassaMAS,Sauber Petronas,1:22.287
17,19,Giorgio PantanoPAN,Jordan Ford,1:23.239
18,20,Gianmaria BruniBRU,Minardi Cosworth,1:24.940
19,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:25.808
20,18,Nick HeidfeldHEI,Jordan Ford,1:22.301
