Pos,No,Driver,Car,Time
1,8,Fernando AlonsoALO,Renault,1:13.698
2,1,Michael SchumacherMSC,Ferrari,1:13.971
3,5,David CoulthardCOU,McLaren Mercedes,1:13.987
4,9,Jenson ButtonBUT,BAR Honda,1:13.995
5,7,Jarno TrulliTRU,Renault,1:14.070
6,3,Juan Pablo MontoyaMOY,Williams BMW,1:14.172
7,10,Takuma SatoSAT,BAR Honda,1:14.240
8,4,Marc GeneGEN,Williams BMW,1:14.275
9,6,Kimi RäikkönenRAI,McLaren Mercedes,1:14.346
10,2,Rubens BarrichelloBAR,Ferrari,1:14.478
11,16,Cristiano da MattaDAM,Toyota,1:14.553
12,14,Mark WebberWEB,Jaguar Cosworth,1:14.798
13,15,Christian KlienKLI,Jaguar Cosworth,1:15.065
14,17,Olivier PanisPAN,Toyota,1:15.130
15,11,Giancarlo FisichellaFIS,Sauber Petronas,1:16.177
16,12,Felipe MassaMAS,Sauber Petronas,1:16.200
17,18,Nick HeidfeldHEI,Jordan Ford,1:16.807
18,19,Giorgio PantanoPAN,Jordan Ford,1:17.462
19,20,Gianmaria BruniBRU,Minardi Cosworth,1:17.913
20,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:18.247
