Pos,No,Driver,Car,Time
1,1,Michael SchumacherMSC,Ferrari,1:19.146
2,2,Rubens BarrichelloBAR,Ferrari,1:19.323
3,10,Takuma SatoSAT,BAR Honda,1:19.693
4,9,Jenson ButtonBUT,BAR Honda,1:19.700
5,8,Fernando AlonsoALO,Renault,1:19.996
6,4,Antonio PizzoniaPIZ,Williams BMW,1:20.170
7,3,Juan Pablo MontoyaMOY,Williams BMW,1:20.199
8,11,Giancarlo FisichellaFIS,Sauber Petronas,1:20.324
9,7,Jarno TrulliTRU,Renault,1:20.411
10,6,Kimi RäikkönenRAI,McLaren Mercedes,1:20.570
11,14,Mark WebberWEB,Jaguar Cosworth,1:20.730
12,5,David CoulthardCOU,McLaren Mercedes,1:20.897
13,17,Olivier PanisPAN,Toyota,1:21.068
14,15,Christian KlienKLI,Jaguar Cosworth,1:21.118
15,16,Ricardo ZontaZON,Toyota,1:21.135
16,18,Nick HeidfeldHEI,Jordan Ford,1:22.180
17,19,Giorgio PantanoPAN,Jordan Ford,1:22.356
18,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:24.329
19,20,Gianmaria BruniBRU,Minardi Cosworth,1:24.679
20,12,Felipe MassaMAS,Sauber Petronas,
