Pos,No,Driver,Car,Time,Laps
1,5,Damon HillHIL,Williams Renault,1:30.346,12
2,1,Michael SchumacherMSC,Ferrari,1:30.598,11
3,6,Jacques VilleneuveVIL,Williams Renault,1:30.907,12
4,3,Jean AlesiALE,Benetton Renault,1:31.038,6
5,4,Gerhard BergerBER,Benetton Renault,1:31.262,11
6,11,Rubens BarrichelloBAR,Jordan Peugeot,1:31.404,12
7,17,Jos VerstappenVER,Footwork Hart,1:31.615,7
8,7,Mika HakkinenHAK,McLaren Mercedes,1:31.801,11
9,8,David CoulthardCOU,McLaren Mercedes,1:32.001,12
10,2,Eddie IrvineIRV,Ferrari,1:32.058,11
11,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:32.130,12
12,9,Olivier PanisPAN,Ligier Mugen Honda,1:32.177,11
13,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:32.407,12
14,21,Tarso MarquesMAR,Minardi Ford,1:32.502,11
15,12,Martin BrundleBRU,Jordan Peugeot,1:32.696,12
16,19,Mika SaloSAL,Tyrrell Yamaha,1:32.903,10
17,14,Johnny HerbertHER,Sauber Ford,1:33.256,10
18,10,Pedro DinizDIN,Ligier Mugen Honda,1:33.424,12
19,20,Pedro LamyLAM,Minardi Ford,1:33.727,12
20,16,Ricardo RossetROS,Footwork Hart,1:33.752,11
21,22,Luca BadoerBAD,Forti Ford,1:34.830,11
22,23,Andrea MonterminiMON,Forti Ford,1:35.651,11
