Pos,No,Driver,Car,Time
1,5,Damon HillHIL,Williams Renault,1:15.505
2,6,David CoulthardCOU,Williams Renault,1:15.628
3,1,Michael SchumacherMSC,Benetton Renault,1:15.839
4,28,Gerhard BergerBER,Ferrari,1:15.932
5,27,Jean AlesiALE,Ferrari,1:16.305
6,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:16.647
7,14,Rubens BarrichelloBAR,Jordan Peugeot,1:16.725
8,2,Johnny HerbertHER,Benetton Renault,1:16.950
9,15,Eddie IrvineIRV,Jordan Peugeot,1:17.116
10,7,Mark BlundellBLU,McLaren Mercedes,1:17.348
11,25,Martin BrundleBRU,Ligier Mugen Honda,1:17.624
12,26,Olivier PanisPAN,Ligier Mugen Honda,1:18.033
13,9,Gianni MorbidelliMOR,Footwork Hart,1:18.391
14,4,Mika SaloSAL,Tyrrell Yamaha,1:18.604
15,24,Luca BadoerBAD,Minardi Ford,1:18.810
16,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:18.828
17,23,Pedro LamyLAM,Minardi Ford,1:18.875
18,29,Karl WendlingerWEN,Sauber Ford,1:19.561
19,10,Taki InoueINO,Footwork Hart,1:19.677
20,22,Roberto MorenoMOR,Forti Ford,1:20.657
21,21,Pedro DinizDIN,Forti Ford,1:20.878
22,17,Andrea MonterminiMON,Pacific Ilmor,1:21.659
23,16,Bertrand GachotGAC,Pacific Ilmor,1:21.998
