Pos,No,Driver,Car,Time
1,5,Damon HillHIL,Williams Renault,1:20.081
2,1,Michael SchumacherMSC,Benetton Renault,1:20.382
3,6,David CoulthardCOU,Williams Renault,1:20.422
4,2,Johnny HerbertHER,Benetton Renault,1:20.888
5,28,Gerhard BergerBER,Ferrari,1:20.906
6,27,Jean AlesiALE,Ferrari,1:21.041
7,8,Mika HakkinenHAK,McLaren Mercedes,1:21.399
8,15,Eddie IrvineIRV,Jordan Peugeot,1:21.749
9,7,Mark BlundellBLU,McLaren Mercedes,1:21.779
10,26,Olivier PanisPAN,Ligier Mugen Honda,1:21.914
11,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:22.325
12,4,Mika SaloSAL,Tyrrell Yamaha,1:22.416
13,9,Gianni MorbidelliMOR,Footwork Hart,1:22.468
14,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:22.872
15,25,Aguri SuzukiSUZ,Ligier Mugen Honda,1:22.971
16,14,Rubens BarrichelloBAR,Jordan Peugeot,1:22.975
17,23,Pierluigi MartiniMAR,Minardi Ford,1:24.383
18,24,Luca BadoerBAD,Minardi Ford,1:24.443
19,29,Karl WendlingerWEN,Sauber Ford,1:24.723
20,16,Bertrand GachotGAC,Pacific Ilmor,1:25.127
21,10,Taki InoueINO,Footwork Hart,1:25.225
22,17,Andrea MonterminiMON,Pacific Ilmor,1:25.886
23,22,Roberto MorenoMOR,Forti Ford,1:26.269
24,12,Jos VerstappenVER,Simtek Ford,1:26.323
25,21,Pedro DinizDIN,Forti Ford,1:27.792
26,11,Domenico SchiattarellaSCH,Simtek Ford,1:28.106
