Pos,No,Driver,Car,Time
1,28,Gerhard BergerBER,Ferrari,1:54.392
2,27,Jean AlesiALE,Ferrari,1:54.631
3,8,Mika HakkinenHAK,McLaren Mercedes,1:55.435
4,2,Johnny HerbertHER,Benetton Renault,1:56.085
5,6,David CoulthardCOU,Williams Renault,1:56.254
6,7,Mark BlundellBLU,McLaren Mercedes,1:56.622
7,15,Eddie IrvineIRV,Jordan Peugeot,1:57.001
8,5,Damon HillHIL,Williams Renault,1:57.768
9,26,Olivier PanisPAN,Ligier Mugen Honda,1:58.021
10,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:58.148
11,4,Mika SaloSAL,Tyrrell Yamaha,1:58.224
12,14,Rubens BarrichelloBAR,Jordan Peugeot,1:58.293
13,25,Martin BrundleBRU,Ligier Mugen Honda,1:58.314
14,29,Jean-Christophe BoullionBOU,Sauber Ford,1:58.356
15,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:58.551
16,1,Michael SchumacherMSC,Benetton Renault,1:59.079
17,23,Pedro LamyLAM,Minardi Ford,1:59.256
18,10,Taki InoueINO,Footwork Hart,2:00.990
19,24,Luca BadoerBAD,Minardi Ford,2:01.013
20,9,Massimiliano PapisPAP,Footwork Hart,2:01.685
21,17,Andrea MonterminiMON,Pacific Ilmor,2:02.405
22,22,Roberto MorenoMOR,Forti Ford,2:03.817
23,16,Giovanni LavaggiLAV,Pacific Ilmor,2:06.407
24,21,Pedro DinizDIN,Forti Ford,2:09.537
