Pos,No,Driver,Car,Time
1,6,Jacques VilleneuveVIL,Williams Renault,1:38.909
2,5,Damon HillHIL,Williams Renault,1:39.370
3,1,Michael SchumacherMSC,Ferrari,1:40.071
4,4,Gerhard BergerBER,Benetton Renault,1:40.364
5,7,Mika HakkinenHAK,McLaren Mercedes,1:40.458
6,2,Eddie IrvineIRV,Ferrari,1:41.005
7,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:41.277
8,8,David CoulthardCOU,McLaren Mercedes,1:41.384
9,3,Jean AlesiALE,Benetton Renault,1:41.562
10,12,Martin BrundleBRU,Jordan Peugeot,1:41.600
11,11,Rubens BarrichelloBAR,Jordan Peugeot,1:41.919
12,9,Olivier PanisPAN,Ligier Mugen Honda,1:42.206
13,14,Johnny HerbertHER,Sauber Ford,1:42.658
14,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:42.711
15,19,Mika SaloSAL,Tyrrell Yamaha,1:42.840
16,10,Pedro DinizDIN,Ligier Mugen Honda,1:43.196
17,17,Jos VerstappenVER,Footwork Hart,1:43.383
18,20,Pedro LamyLAM,Minardi Ford,1:44.874
19,16,Ricardo RossetROS,Footwork Hart,1:45.412
