Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,5,14:10:02,23.406,23.406
1,10,Pierre GaslyGAS,AlphaTauri RBPT,5,14:10:04,23.557,23.557
1,20,Kevin MagnussenMAG,Haas Ferrari,7,14:12:33,38.262,38.262
1,1,Max VerstappenVER,Red Bull Racing RBPT,9,14:15:15,24.217,24.217
1,44,Lewis HamiltonHAM,Mercedes,9,14:15:24,23.845,23.845
1,22,Yuki TsunodaTSU,AlphaTauri RBPT,9,14:15:50,23.248,23.248
1,6,Nicholas LatifiLAT,Williams Mercedes,9,14:15:59,24.020,24.020
1,23,Alexander AlbonALB,Williams Mercedes,18,14:28:07,23.804,23.804
1,63,George RussellRUS,Mercedes,19,14:29:03,23.951,23.951
1,31,Esteban OconOCO,Alpine Renault,19,14:29:16,25.684,25.684
1,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,19,14:29:24,24.281,24.281
1,3,Daniel RicciardoRIC,McLaren Mercedes,19,14:29:26,27.937,27.937
1,4,Lando NorrisNOR,McLaren Mercedes,19,14:29:34,43.032,43.032
2,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,19,14:29:44,23.681,47.087
1,55,Carlos SainzSAI,Ferrari,20,14:30:33,24.215,24.215
1,14,Fernando AlonsoALO,Alpine Renault,28,14:41:26,23.779,23.779
2,10,Pierre GaslyGAS,AlphaTauri RBPT,36,14:52:35,23.613,47.170
2,6,Nicholas LatifiLAT,Williams Mercedes,37,14:54:22,30.034,54.054
1,16,Charles LeclercLEC,Ferrari,41,14:58:44,26.199,26.199
2,1,Max VerstappenVER,Red Bull Racing RBPT,43,15:00:29,23.704,47.921
2,4,Lando NorrisNOR,McLaren Mercedes,42,15:00:41,24.134,1:07.166
2,44,Lewis HamiltonHAM,Mercedes,44,15:02:06,23.841,47.686
2,63,George RussellRUS,Mercedes,45,15:03:30,24.069,48.020
1,18,Lance StrollSTR,Aston Martin Aramco Mercedes,47,15:06:55,25.252,25.252
2,22,Yuki TsunodaTSU,AlphaTauri RBPT,47,15:07:00,23.450,46.698
2,55,Carlos SainzSAI,Ferrari,49,15:08:24,24.881,49.096
2,23,Alexander AlbonALB,Williams Mercedes,48,15:08:45,23.530,47.334
2,31,Esteban OconOCO,Alpine Renault,49,15:09:34,23.945,49.629
2,14,Fernando AlonsoALO,Alpine Renault,49,15:09:42,25.139,48.918
1,77,Valtteri BottasBOT,Alfa Romeo Ferrari,49,15:09:50,26.089,26.089
2,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,49,15:10:04,23.980,48.261
2,3,Daniel RicciardoRIC,McLaren Mercedes,49,15:10:08,24.833,52.770
