Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,3,Daniel RicciardoRIC,McLaren Mercedes,8,20:16:37,20.650,20.650
1,18,Lance StrollSTR,Aston Martin Aramco Mercedes,13,20:24:49,22.339,22.339
1,23,Alexander AlbonALB,Williams Mercedes,13,20:24:54,20.683,20.683
1,11,Sergio PerezPER,Red Bull Racing RBPT,15,20:27:12,20.481,20.481
1,10,Pierre GaslyGAS,AlphaTauri RBPT,15,20:27:52,22.820,22.820
1,16,Charles LeclercLEC,Ferrari,16,20:28:55,21.038,21.038
1,1,Max VerstappenVER,Red Bull Racing RBPT,16,20:28:58,20.731,20.731
1,55,Carlos SainzSAI,Ferrari,16,20:29:04,21.521,21.521
1,63,George RussellRUS,Mercedes,16,20:29:21,21.415,21.415
1,14,Fernando AlonsoALO,Alpine Renault,16,20:29:40,21.543,21.543
1,77,Valtteri BottasBOT,Alfa Romeo Ferrari,16,20:29:43,22.561,22.561
1,31,Esteban OconOCO,Alpine Renault,16,20:29:50,21.141,21.141
1,4,Lando NorrisNOR,McLaren Mercedes,16,20:29:54,20.383,20.383
1,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,16,20:29:56,33.734,33.734
2,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,27,20:51:18,15.103,48.837
2,77,Valtteri BottasBOT,Alfa Romeo Ferrari,35,21:03:48,22.710,45.271
1,20,Kevin MagnussenMAG,Haas Ferrari,37,21:06:57,22.374,22.374
1,27,Nico HulkenbergHUL,Aston Martin Aramco Mercedes,37,21:07:16,21.425,21.425
1,44,Lewis HamiltonHAM,Mercedes,40,21:12:59,21.788,21.788
