Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,3,Daniel RicciardoRIC,McLaren Mercedes,2,15:07:48,32.362,32.362
2,3,Daniel RicciardoRIC,McLaren Mercedes,16,15:31:14,30.422,1:02.784
1,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,17,15:32:26,30.484,30.484
1,10,Pierre GaslyGAS,AlphaTauri RBPT,17,15:32:38,30.405,30.405
1,23,Alexander AlbonALB,Williams Mercedes,17,15:32:41,30.793,30.793
1,11,Sergio PerezPER,Red Bull Racing RBPT,18,15:33:26,30.366,30.366
1,63,George RussellRUS,Mercedes,18,15:33:46,31.079,31.079
1,77,Valtteri BottasBOT,Alfa Romeo Ferrari,18,15:33:47,40.957,40.957
1,20,Kevin MagnussenMAG,Haas Ferrari,18,15:33:56,33.765,33.765
1,18,Lance StrollSTR,Aston Martin Aramco Mercedes,18,15:34:06,32.667,32.667
1,22,Yuki TsunodaTSU,AlphaTauri RBPT,18,15:34:06,30.372,30.372
1,44,Lewis HamiltonHAM,Mercedes,18,15:34:07,32.740,32.740
1,31,Esteban OconOCO,Alpine Renault,18,15:34:08,31.409,31.409
1,6,Nicholas LatifiLAT,Williams Mercedes,18,15:34:17,31.125,31.125
1,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,18,15:34:18,32.203,32.203
1,47,Mick SchumacherMSC,Haas Ferrari,18,15:34:18,31.320,31.320
1,1,Max VerstappenVER,Red Bull Racing RBPT,19,15:34:49,30.001,30.001
1,16,Charles LeclercLEC,Ferrari,19,15:34:56,31.794,31.794
1,4,Lando NorrisNOR,McLaren Mercedes,19,15:35:07,30.070,30.070
3,3,Daniel RicciardoRIC,McLaren Mercedes,30,15:51:37,30.155,1:32.939
2,16,Charles LeclercLEC,Ferrari,49,16:16:19,30.042,1:01.836
2,11,Sergio PerezPER,Red Bull Racing RBPT,50,16:17:38,29.627,59.993
2,1,Max VerstappenVER,Red Bull Racing RBPT,51,16:18:44,29.942,59.943
2,47,Mick SchumacherMSC,Haas Ferrari,52,16:22:04,30.984,1:02.304
3,16,Charles LeclercLEC,Ferrari,53,16:22:17,36.560,1:38.396
