Pos,No,Driver,Car,Time
1,3,Juan Pablo MontoyaMOY,Williams BMW,1:15.167
2,4,Ralf SchumacherRSC,Williams BMW,1:15.185
3,2,Rubens BarrichelloBAR,Ferrari,1:15.488
4,7,Jarno TrulliTRU,Renault,1:15.679
5,6,Kimi RäikkönenRAI,McLaren Mercedes,1:15.874
6,1,Michael SchumacherMSC,Ferrari,1:15.898
7,20,Olivier PanisPAN,Toyota,1:16.034
8,8,Fernando AlonsoALO,Renault,1:16.483
9,21,Cristiano da MattaDAM,Toyota,1:16.550
10,5,David CoulthardCOU,McLaren Mercedes,1:16.666
11,14,Mark WebberWEB,Jaguar Cosworth,1:16.775
12,11,Giancarlo FisichellaFIS,Jordan Ford,1:16.831
13,16,Jacques VilleneuveVIL,BAR Honda,1:17.090
14,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:17.169
15,9,Nick HeidfeldHEI,Sauber Petronas,1:17.557
16,15,Justin WilsonWIL,Jaguar Cosworth,1:18.021
17,17,Jenson ButtonBUT,BAR Honda,1:18.085
18,12,Ralph FirmanFIR,Jordan Ford,1:18.341
19,19,Jos VerstappenVER,Minardi Cosworth,1:19.023
20,18,Nicolas KiesaKIE,Minardi Cosworth,1:19.174
